nei'rong,6636 内容,6636;
zhao'hu,142 赵虎,6;招呼,136;
li'qing,143 李晴,7;沥青,48;理清,80;李青,8;
gong'yeju,16 工业局,16;
feng'ding,106 封顶,89;峰顶,17;
hun'jue,13 昏厥,13;
ye'ping'cun,17 叶坪村,17;
hu'yang,38 胡杨,38;
ping'guo'shu,27 苹果树,27;
chi'mi,77 痴迷,77;
jiao'chu,142 交出,142;
xiao'e,660 小额,660;
zhen'xin'cheng'yi,19 真心诚意,19;
zhen'xian'huo,5 针线活,5;
gaozhi,168 高职,140;高质,28;
tuo'dang,47 妥当,39;脱党,8;
gan'ran'li,304 感染力,304;
yue'ran'zhi'shang,29 跃然纸上,29;
bao'leng,14 爆冷,14;
jiao'cha,310 交叉,310;
zhuan'wei'wei'an,28 转危为安,28;
dian'zi,2958 电子,2830;垫子,7;点子,121;
jiao'che,296 轿车,285;绞车,11;
chi'li,83 吃力,65;池莉,18;
suo'duan,366 缩短,366;
xi'hong'shi,146 西红柿,146;
shu'dian,785 书店,785;
dao'ren,124 到任,29;刀刃,95;
ren'ji'dui'hua,5 人机对话,5;
lai'zhang,5 赖账,5;
she'ying'jia,27 摄影家,27;
re'xiao,37 热销,37;
re'xian,428 热线,428;
ji'jixiang'shang,113 积极向上,113;
zhi'bian,69 质变,57;支边,12;
yang'chang'lin,45 杨昌林,45;
lv'xing'zhe,8 旅行者,8;
zhi'biao,3352 指标,3255;治标,97;
yizhi,8 意旨,8;
qian'zhang,187 欠账,187;
zhu'ren'gong,212 主人公,212;
ru'chuang,23 褥疮,23;
dian'ye,9 电业,9;
xiong'you'cheng'zhu,17 胸有成竹,17;
fu'zhong,195 浮肿,16;负重,86;复种,6;附中,87;
lun'zhan,22 论战,22;
ruo'zhi,7 弱智,7;
chang'yin,6 畅饮,6;
yi'penpen,5 一盆盆,5;
duchangwen,8 杜昌文,8;
qiu'dong'ji,14 秋冬季,14;
quan'wang,5 拳王,5;
qi'cheye,83 汽车业,83;
ting'cun,10 町村,10;
qi'hang,23 启航,23;
huai'ren,60 怀仁,9;坏人,51;
dian'ya,120 典雅,45;电压,75;
zhao'mi,30 着迷,30;
han'jiao'sheng,5 喊叫声,5;
qi'yue,159 器乐,25;七月,29;契约,105;
qing'qiao,14 轻巧,14;
meng'gu'zu,109 蒙古族,109;
dian'xi,40 滇西,40;
piao'jun'yong,5 朴俊勇,5;
li'ming,168 黎明,147;李明,21;
pian'jian,134 偏见,134;
tou'gong'jian'liao,56 偷工减料,56;
chen'renze,27 陈仁泽,27;
mu'rong'xue,8 慕容雪,8;
zhao'mu,130 招募,130;
fu'yong'feng'ya,5 附庸风雅,5;
zheng'dian,10 正点,10;
wu'yun'duo,11 吴运铎,11;
jian'xiao,288 建校,83;见效,124;减小,81;
he'pan'tuo'chu,6 和盘托出,6;
jian'xian,119 艰险,119;
wang'ming'feng,5 王明峰,5;
zhao'li,28 照例,16;赵丽,7;照理,5;
zongcheng,32 总成,32;
shui'dao,626 水稻,595;水道,31;
dian'wu,19 玷污,19;
zhou'hong,5 周鸿,5;
ya'jie,13 押解,13;
hong'xin,16 红心,16;
ping'jiang'xian,27 平江县,27;
zhao'le,9 找乐,9;
xieda'niang,5 谢大娘,5;
ya'jia,23 压价,23;
gong'ye'hua,1512 工业化,1512;
chi'ku,226 吃苦,226;
yin'yue'ke'jian,5 隐约可见,5;
ji'du'jiao'tu,15 基督教徒,15;
pei'song,342 配送,342;
bing'jian'zuo'zhan,19 并肩作战,19;
hong'xia,13 洪霞,5;红霞,8;
qi'yun,42 启运,9;气韵,33;
bei'er'ge'lai'de,23 贝尔格莱德,23;
re'ya,15 热轧,15;
shui'dai,10 睡袋,10;
gong'min,2902 公民,2902;
yangzaiping,5 杨再平,5;
xin'xiju,8 信息局,8;
jingyong,26 警用,26;
kao'bian,11 靠边,11;
ding'sheng'jun,6 丁声俊,6;
she'ying,401 摄影,401;
xie'tiaoting,7 协调厅,7;
ya'jin,50 押金,50;
rong'guang,35 荣光,35;
[ding'wan,76 丁湾,76;
xianai,5 夏鼐,5;
nian'fen,113 年份,113;
bei'chao,10 北朝,10;
zheng'chang'ren,43 正常人,43;
gan'tan,410 感叹,410;
pin'wei,358 品位,270;品味,88;
bu'zhi'bu'jue,88 不知不觉,88;
nei'xiang,20 内向,20;
long'baolin,9 龙宝林,9;
yue'dan'he,39 约旦河,39;
zhao'bo,14 赵博,6;赵波,8;
yi'nanbing,18 疑难病,18;
meng'guguo,237 蒙古国,237;
fan'xiang,456 凡响,6;反向,19;反响,431;
pa'nei'ta,52 帕内塔,52;
tai'ping'zhen,7 太平镇,7;
jiang'shangzhou,60 江上舟,60;
tai'he'xian,12 太和县,12;
xuan'minzheng,12 选民证,12;
kou'wen,12 口吻,12;
te'pin,62 特聘,62;
he'jun,5 何军,5;
kuang'jia,1531 框架,1531;
zhi'bing,252 致病,26;治病,226;
shou'zhi,804 手指,175;收治,96;受制,64;收支,469;
shuangjidao,15 双季稻,15;
kou'wei,126 口味,126;
wuyang,5 武杨,5;
xiuxian,8 修宪,8;
zuoxuan,21 左旋,21;
hong'meizan,5 红梅赞,5;
kai'tou,79 开头,79;
shapan,34 沙盘,34;
zhan'bai,14 战败,14;
duojiao'du,71 多角度,71;
pi'xian,5 郫县,5;
ke'yin,16 刻印,16;
tian'yang'chu,11 天养畜,11;
yi'shuang,15 遗孀,15;
ka'mai'long,30 喀麦隆,30;
yan'zou,191 演奏,191;
bao'tong,12 保通,12;
yi'yi'xi'bie,18 依依惜别,18;
yi'zhuo,58 衣着,58;
dai'wei'ying,15 戴维营,15;
zhang'jin'fa,13 张金发,13;
dong'la'xi'che,5 东拉西扯,5;
cha'ganhu,8 查干湖,8;
he'ying,230 合营,39;何英,10;合影,181;
nai'shi,57 乃是,57;
rong'zhu,32 熔铸,32;
men're,27 闷热,27;
ti'yanguan,7 体验馆,7;
lin'songlin,6 林松林,6;
re'tu,113 热土,113;
deng'yong,5 邓勇,5;
yao'yan,496 耀眼,134;谣言,362;
pei'kuan,52 赔款,52;
yao'yao,16 姚尧,9;遥遥,7;
you'xuan,26 优选,26;
xu'shui'xian,5 徐水县,5;
xiu'xue,12 休学,12;
xia'xian,123 下线,79;夏县,8;下限,36;
er'wanwu'qian,25 二万五千,25;
xia'xiao,115 狭小,115;
dui'xing,20 队形,20;
xian'ji'xian'ce,60 献计献策,60;
xing'yuan'min,12 邢元敏,12;
tong'xin'xie'li,50 同心协力,50;
e'er'ni'nuo,11 厄尔尼诺,11;
jia'jing'dun,5 贾敬敦,5;
ji'gong'hao'yi,5 急公好义,5;
jian'xing,71 饯行,6;减刑,65;
gai'ge'zhe,25 改革者,25;
songhelian,6 宋荷莲,6;
zhen'jiang,148 镇江,148;
wei'chi,1022 维持,1022;
dian'ci'fu'she,7 电磁辐射,7;
zi'jue'zi'yuan,23 自觉自愿,23;
lian'ban,19 联办,19;
zhao'an,7 招安,7;
xun'lianshang,9 训练伤,9;
hou'hui,126 后悔,126;
pei'jian'chang,5 配件厂,5;
han'wen,14 汉文,14;
han'wei,236 捍卫,236;
fu'yu'wan'kang,7 负隅顽抗,7;
dai'shengxiong,12 戴胜雄,12;
bei'chen'qu,25 北辰区,25;
ganshouqing,7 甘守清,7;
ruo'zhe,63 弱者,63;
deng'yi'guang,5 邓一光,5;
zhuo'lu,235 着陆,227;涿鹿,8;
cha'kou,24 查扣,24;
liang'heng,6 梁衡,6;
di'san'shi'yi,87 第三十一,87;
feiyou,49 废油,49;
feng'xian'xing,18 风险性,18;
ce'huiju,21 测绘局,21;
shi'xiang,1667 驶向,62;石像,10;试想,63;事项,1532;
ka'naer,9 卡纳尔,9;
dai'bing'guo,201 戴秉国,201;
bei'chen,9 北辰,9;
chang'yan,24 肠炎,8;常言,8;常艳,8;
jiao'cai,670 教材,670;
zhi'min'di,39 殖民地,39;
su'dan'hong,19 苏丹红,19;
liu'enjian,6 刘恩建,6;
zhao'fa,10 招法,10;
qu'han,5 驱寒,5;
re'na,8 热娜,8;
zhao'gu,1118 照顾,1118;
hei'hong,11 黑红,11;
bian'ben'jia'li,5 变本加厉,5;
liu'lang'zhe,12 流浪者,12;
meng'lie,100 猛烈,100;
hou'hou,45 厚厚,45;
rongbachi,8 荣八耻,8;
fang'zhi'min,66 方志敏,66;
jingshui,33 净水,33;
shen'tan,11 神坛,11;
zhuo'li,3568 着力,3568;
gui'lai,181 归来,181;
feng'shuang,34 风霜,34;
jia'li'xian,20 嘉黎县,20;
liushiwen,11 刘诗雯,11;
yi'qi'zhi'xia,14 一气之下,14;
yinzuluan,14 尹祖銮,14;
chong'gou,80 重构,80;
shen'tai,25 神态,25;
kai'gong,1369 开工,1369;
zhao'du,6 照度,6;
yu'guo'tian'qing,7 雨过天晴,7;
rizhencheng'shu,13 日臻成熟,13;
yan'chutuan,10 演出团,10;
ta'ta,5 塔塔,5;
cheng'shu,1532 成熟,1510;乘数,22;
ke'xuecheng,19 科学城,19;
liu'kehua,10 刘克华,10;
zi'xun'fan'nao,5 自寻烦恼,5;
tuan'ti,1234 团体,1234;
fan'dong,200 反动,189;翻动,11;
wei'ning'yi'zu'hui'zu'miao'zu'zi'zhi'xian,5 威宁彝族回族苗族自治县,5;
luo'kuan,25 落款,25;
zhengbian,12 郑汴,12;
kai'tuo,1224 开拓,1203;开脱,21;
fang'xiang'pan,38 方向盘,38;
hu'jiu'sheng,42 呼救声,42;
cheng'shi,18181 成事,49;城市,17693;程式,60;乘势,125;诚实,254;
luo'yan,28 罗艳,12;罗彦,16;
te'pai,20 特派,20;
zong'fenguan,5 总分馆,5;
zha'kou,10 闸口,10;
wan'wan'qu'qu,20 弯弯曲曲,20;
bu'yi'yue'hu,40 不亦乐乎,40;
bing'qing,377 病情,377;
he'longren,10 贺龙任,10;
shou'zai,843 受灾,843;
zhuo'mo,179 琢磨,169;捉摸,10;
re'qi,30 热气,30;
da'yi'xian,5 大邑县,5;
bu'zhe'bu'kou,99 不折不扣,99;
bao'le'de,28 包勒德,28;
li'hai'yan,14 李海燕,14;
san'kai,13 散开,13;
qing'qing,286 青青,26;轻轻,260;
qun'qi,8 群起,8;
chi'zi,680 池子,13;赤子,59;赤字,496;尺子,64;斥资,48;
gao'mingxuan,5 高铭暄,5;
zongbian,13 棕编,13;
wang'da'zhao,15 汪大昭,15;
chi'zu,5 赤足,5;
zayong,5 杂用,5;
bao'jian'feng,5 宝剑锋,5;
cheng'de'shi,35 承德市,35;
weiminli,6 卫敏丽,6;
da'men'kou,28 大门口,28;
qiang'tou'cao,6 墙头草,6;
song'yinghui,6 宋英辉,6;
tie'mian'wu'si,15 铁面无私,15;
luoxiang'ming,47 骆向明,47;
chi'ze,17 斥责,17;
tuan'ji,64 湍急,64;
ta'na,17 塔纳,17;
jiandao,6 拣到,6;
you'xin'ren,22 有心人,22;
zhong'qiu,108 中秋,108;
zhuan'huan,450 转换,450;
chi'yi,18 迟疑,18;
hun'jia,14 婚嫁,14;
nan'nan'nv'nv,7 男男女女,7;
bai'li'chen,59 白立忱,59;
zhang'wei'dong,6 张卫东,6;
mu'dan'jiang'shi,8 牡丹江市,8;
mao'di,20 锚地,20;
da'xin'xian,9 大新县,9;
ci'hou,926 伺候,54;此后,872;
qi'zhi,1552 岂止,27;旗帜,1303;弃置,8;气质,214;
niao'yang,9 尿样,9;
bai'bai'shou,11 摆摆手,11;
xi'fan,22 稀饭,22;
qin'qiang,163 秦腔,163;
chi'xu,8018 持续,8018;
gao'feng'xianxing,8 高风险性,8;
wa'yao'bao,21 瓦窑堡,21;
tong'wei'su,16 同位素,16;
qi'zha,204 欺诈,204;
wu'shen'lun,10 无神论,10;
huangchuan,7 黄船,7;
yang'zhi'ye,107 养殖业,107;
yi'di'di,8 一滴滴,8;
yan'zhi,1131 腌制,9;胭脂,11;研制,1111;
ri'jun,431 日均,167;日军,264;
kan'chang,6 看场,6;
ya'jun,138 亚军,138;
zhuo'se,5 着色,5;
di'san'shi'wu,81 第三十五,81;
lian'cheng'yi'pian,28 连成一片,28;
yan'zhe,583 沿着,583;
ze'she,29 咋舌,29;
kuang'quan'shui,104 矿泉水,104;
da'niang,97 大娘,97;
re'li,55 热力,55;
you'yong'chi,26 游泳池,26;
lv'chang,10 铝厂,10;
zheng'bonong,24 郑伯农,24;
chen'chang'feng,20 陈昌凤,20;
xiaocai,17 小蔡,17;
yi'zha'zi,10 伊扎兹,10;
bi'zhong'jiu'qing,19 避重就轻,19;
zhuo're,7 灼热,7;
gong'shan,10 贡山,10;
niao'que,12 鸟雀,12;
ji'ze'xian,5 鸡泽县,5;
zhao'deping,30 赵德平,30;
zi'ben'lun,29 资本论,29;
he'jiu,102 喝酒,102;
hu'wenxi'ao,7 胡文西奥,7;
zhang'si'qing,13 张思卿,13;
jiang'li'juan,16 姜丽娟,16;
da'huang'yu,5 大黄鱼,5;
zhong'guo'tong,7 中国通,7;
bao'can'shou'que,10 抱残守缺,10;
men'lu,94 门路,94;
yi'ben'wan'li,5 一本万利,5;
he'jin,63 合金,63;
yin'shua'shu,13 印刷术,13;
mao'fa,19 毛发,19;
xin'ren'gan,30 信任感,30;
qing'nian'tuan,58 青年团,58;
ta'ji,26 塔基,26;
a'luo'ding,6 阿罗丁,6;
dou'quan'zi,6 兜圈子,6;
chuang'wai,118 窗外,118;
di'san'shi'qi,70 第三十七,70;
da'za'yuan,7 大杂院,7;
de'zhou,44 得州,14;德州,30;
da'shi'yi'qu,6 大势已去,6;
hu'shi,1186 护士,446;呼市,5;胡适,37;忽视,698;
yaozhidui,35 姚之队,35;
chu'tian,5 楚天,5;
zhao'hai'sheng,10 赵海生,10;
pu'ning'shi,11 普宁市,11;
fa'zhan'qian'tu,28 发展前途,28;
nian'fan,10 年饭,10;
ji'nian,1214 纪年,11;纪念,1203;
gao'duanyin,27 高端引,27;
yuan'yongchao,16 袁永超,16;
ke'yun,555 客运,555;
zhi'fa'bi'yan,78 执法必严,78;
gong'er'wang'si,14 公而忘私,14;
dui'kai,8 对开,8;
ta'xiang,50 他乡,50;
lu'yuan,15 陆源,15;
zhang'li'rong,6 张丽蓉,6;
bi'sheng,227 毕生,169;毕胜,8;必胜,50;
qun'ti,2472 群体,2472;
wu'long,70 武隆,70;
dinaer,5 第纳尔,5;
liushaoying,14 刘绍英,14;
men'piao,296 门票,296;
zula,16 祖拉,16;
hua'ji'xi,14 滑稽戏,14;
zhan'bei,124 战备,124;
ge'ting'sui,9 葛庭燧,9;
ci'hua,23 此话,23;
mai'na'mai,11 麦纳麦,11;
yi'pian'gai'quan,17 以偏概全,17;
ci'hui,184 词汇,184;
zhang'jin'bo,15 张金波,15;
tai'xian,5 苔藓,5;
ge'san'cha'wu,14 隔三差五,14;
lian'meng,1248 联盟,1248;
zuhu,42 租户,42;
yun'luo,20 陨落,20;
yao'wenyuan,5 姚文元,5;
di'bao,15 地堡,15;
di'ban,68 地板,68;
hu'jia'lou,5 呼家楼,5;
huang'jin'cun,5 黄金村,5;
di'bai,58 迪拜,58;
pi'hua'ting,6 皮划艇,6;
di'biao'xing,16 地标性,16;
xunzhen,99 巡诊,99;
re'he,9 热河,9;
fen'yong,130 奋勇,130;
jing'liang,61 精良,61;
zhuang'yuan,146 状元,99;庄园,47;
mao'bi,63 毛笔,63;
yizuo,14 译作,14;
yi'jun'tu'qi,77 异军突起,77;
dan'gan,25 单干,18;胆敢,7;
zui'ming,100 罪名,100;
tuan'ju,132 团聚,132;
dan'gao,376 蛋糕,376;
dan'fang'mian,119 单方面,119;
re'hu,21 热乎,21;
she'hui'hua,493 社会化,493;
hu'shu,50 户数,50;
mao'ming'shi,11 茂名市,11;
yao'xue,17 药学,17;
ta'ma,29 塔玛,29;
gan'xing,78 感性,78;
bing'ceng,14 冰层,14;
chuang'wei,153 床位,153;
jiepai,82 揭牌,82;
jing'she'li'shi'hui,7 经社理事会,7;
qi'yejing'ying'zhe,67 企业经营者,67;
dan'dang,810 担当,810;
gou'shu,78 购书,78;
la'gan,15 拉杆,15;
jia'changhua,11 家常话,11;
gou'dang,10 勾当,10;
chong'gao,922 崇高,922;
lao'da,106 老大,106;
cuisheng'sheng,5 脆生生,5;
kang'kai'jie'nang,45 慷慨解囊,45;
liu'chun'yan,10 刘春艳,10;
xue'cheng,54 学成,54;
lao'di,5 老底,5;
fang'kong'dong,12 防空洞,12;
tuo'niao,7 鸵鸟,7;
nong'nong'de,95 浓浓的,95;
zhu'daoxing,23 主导性,23;
ding'ceng,271 顶层,271;
jiao'dui,16 校对,16;
lawu,11 拉乌,11;
ying'qi,23 硬气,12;英气,11;
gao'liang,42 高粱,42;
xiu'zhi,26 休止,26;
lao'du,5 老杜,5;
quan'jia'ren,86 全家人,86;
jin'de'long,6 金德龙,6;
ling'ren'gan'dong,67 令人感动,67;
zhai'xiaochuan,7 翟晓川,7;
xiu'zhu,55 修筑,55;
gui'jie,110 鬼节,5;归结,105;
ba'xi,1096 巴西,1076;把戏,20;
zhu'hanqing,12 朱汉卿,12;
feng'hong'nian,9 封红年,9;
ying'qu,83 营区,83;
ji'jie'xing,93 季节性,93;
hu'kouben,18 户口本,18;
jiao'yu'xue'yuan,52 教育学院,52;
laonie,9 老聂,9;
lao'er,56 劳尔,27;老二,29;
chang'jiang,1013 昌江,6;长江,1007;
wu'ke'song,7 五棵松,7;
ba'wo,3252 把握,3252;
heng'sao,34 横扫,34;
ba'yi,222 八一,222;
xing'qian,17 行前,17;
sheng'fan,11 剩饭,11;
bao'fa'hu,15 暴发户,15;
man'shen,24 满身,24;
bi'shang'liang'shan,5 逼上梁山,5;
yan'kuang,66 眼眶,46;兖矿,20;
xiong'xiong,57 熊雄,5;熊熊,52;
gui'jiu,56 归咎,56;
cipan,7 瓷盘,7;
shu'rong,48 殊荣,48;
bu'lao'er'huo,16 不劳而获,16;
pu'jixing,13 普及性,13;
liu'gang,65 刘刚,65;
ling'nan,95 岭南,95;
liu'xiaofang,16 刘晓放,16;
chu'ting,101 出庭,101;
xuzhaohua,10 徐兆华,10;
dong'shan,59 东山,59;
xingmu,42 兴牧,42;
shou'xue,16 瘦削,16;
lin'cangnong,6 临沧农,6;
zhong'guoxing,10 中国性,10;
su'men'da'la,8 苏门答腊,8;
luo'xia,149 落下,149;
ying'su,89 罂粟,23;应诉,66;
jingjiu,21 京九,21;
tuan'dui,1824 团队,1824;
ba'zi,76 靶子,10;把子,5;八字,32;坝子,29;
ping'fang'mi,2501 平方米,2501;
shangshi,48 商事,48;
zhong'yao'cai,141 中药材,141;
te'zhong'bing,24 特种兵,24;
wang'jilong,5 王纪龙,5;
jingjie,6 警界,6;
liu'rongyu,15 刘荣玉,15;
zhuan'gui,105 专柜,40;转轨,65;
zhong'ziqi'ye,130 中资企业,130;
zhu'xiang,53 逐项,53;
yada'fu,8 亚达夫,8;
ciping,8 茨坪,8;
san'shi'si,9 三十四,9;
hong'wei,469 宏伟,469;
sa'ke'qi,166 萨科齐,166;
xiao'qi'ye,598 小企业,598;
lao'gu,838 牢固,830;老谷,8;
tian'jin'shi,452 天津市,452;
lao'he,23 老何,23;
jia'zhi'gui'lv,19 价值规律,19;
ba'sa,9 巴萨,9;
linguoye,18 林果业,18;
shan'wei,6 汕尾,6;
li'zhao'lin,12 李兆麟,12;
zhutou,6 柱头,6;
wen'zi,1011 文字,959;蚊子,52;
xu'li'yadui,10 叙利亚队,10;
qing'zheng'lian'jie,149 清正廉洁,149;
yi'erjiu,20 一二九,20;
angongniu,23 安宫牛,23;
jing'fang,714 警方,714;
ya'kua,20 压垮,20;
lao'hu,74 老虎,61;老胡,13;
hakete,5 哈克特,5;
chen'zhong'he,8 陈忠和,8;
chang'tong,691 畅通,691;
wen'yu,33 文娱,33;
wan'sui,62 万岁,62;
she'zhi'zu,30 摄制组,30;
zhi'ming'ren'shi,49 知名人士,49;
feng'quan,19 奉劝,19;
ping'fang'qu,11 平房区,11;
bai'cai,114 白菜,114;
cha'kan,552 查看,305;查勘,24;察看,223;
wen'yi,2590 文艺,2568;瘟疫,22;
caiyang,5 蔡央,5;
deng'ta,67 灯塔,67;
ba'li'shi,5 巴黎市,5;
chu'ju'gui'mo,78 初具规模,78;
ba'te,23 巴特,23;
yin'hangdui,17 银行队,17;
san'shi'qi,10 三十七,10;
shi'zhong'xin,225 市中心,225;
shang'shen,15 上身,15;
rong'ma'kong'zong,8 戎马倥偬,8;
shou'wu'zu'dao,11 手舞足蹈,11;
wei'dui,15 卫队,15;
tou'ying'yi,11 投影仪,11;
yan'qing'xiao'shuo,5 言情小说,5;
fen'chi,6 粪池,6;
wen'ya,6 文雅,6;
nan'xin'zhen,8 南辛镇,8;
jiaozhi'yuan,6 教职员,6;
lai'dian,76 来电,76;
zhong'qun,43 种群,43;
wang'qiang,37 王强,37;
wen'ti'ju,17 文体局,17;
lao'ji,495 牢记,467;老纪,28;
za'cao'cong'sheng,36 杂草丛生,36;
zhi'qin,289 至亲,10;执勤,250;值勤,29;
xi'fen,126 细分,126;
xi'fei,77 西非,77;
sheng'fen,768 省份,768;
zhai'yuan,26 宅院,26;
chuan'tou'li,25 穿透力,25;
gu'pengtu,6 顾鹏图,6;
ying'wo,9 硬卧,9;
zhi'qiu,32 只求,32;
tou'tian,19 头天,19;
ying'wu,11 鹦鹉,6;英武,5;
zhu'yi'sa,8 朱以撒,8;
tian'na'xi'zhou,9 田纳西州,9;
hai'yuan,36 海员,36;
du'lan,10 独揽,10;
an'yang'xian,17 安阳县,17;
ren'mian,105 任免,105;
mu'biao'zhi,11 目标值,11;
panshao'jun,9 潘少军,9;
nei'hong,6 内讧,6;
ren'chuan,7 仁川,7;
he'jia,11 合家,11;
li'shi'min,15 李世民,15;
kun'shan,88 昆山,88;
he'jie,390 和解,390;
lu'yuwan,5 鲁豫皖,5;
ping'jutuan,5 评剧团,5;
wang'xia'hong,17 王夏虹,17;
bao'fa'li,24 爆发力,24;
lao'ku,47 劳苦,47;
lianshu,26 楝树,20;联署,6;
shen'bing,37 肾病,37;
hong'wai,25 红外,25;
gao'yao,10 膏药,10;
yi'shiting,18 议事厅,18;
gao'yan,14 高岩,14;
san'ji'tiao'yuan,12 三级跳远,12;
xu'yun'ping,5 徐运平,5;
luo'shan'xian,10 罗山县,10;
du'lou,7 堵漏,7;
da'bie'shan,84 大别山,84;
dui'bi,469 对比,469;
chang'zhu,344 常驻,109;常住,235;
xiongjian'ming,6 熊建明,6;
a'mi'na,7 阿米娜,7;
wu'pei'fu,12 吴佩孚,12;
mian'pang,23 面庞,23;
jian'ku'chuang'ye,115 艰苦创业,115;
chun'tian,675 春天,675;
bao'leming,20 报了名,20;
linxing,7 临刑,7;
shi'juan,72 石卷,7;试卷,65;
ping'tian,37 平添,37;
tiao'bo'li'jian,5 挑拨离间,5;
chang'zhi,92 长治,76;厂址,16;
hong'dong,116 轰动,116;
bei'jingju,5 北京局,5;
ying'ji,2187 应急,2187;
duo'yi,5 多疑,5;
hua'zhong'qu'chong,29 哗众取宠,29;
meiyun,9 煤运,9;
dui'an,83 对岸,83;
bu'lie'dian,7 不列颠,7;
wang'xing'guo,5 王兴国,5;
chen'dexian,8 陈德娴,8;
dan'jiang,15 丹江,15;
fu'jin'zhui'xi,35 抚今追昔,35;
nan'gong,5 南宫,5;
san'guo'zhi,8 三国志,8;
nao'wai'ke,9 脑外科,9;
kuang'ji'xun,8 旷继勋,8;
xiao'shu'dian,14 小数点,14;
wei'zheng,13 伪证,8;魏征,5;
wan'shi,84 万事,54;顽石,5;完事,25;
tang'song,20 唐宋,20;
san'chang,14 散场,14;
ting'dun,58 停顿,58;
bu'rong'zhi'yi,20 不容置疑,20;
zhong'weijun,9 仲为君,9;
men'zi,11 门子,11;
duo'zi,31 多姿,31;
dui'di,23 对敌,23;
suoqiao,6 索桥,6;
qing'nian'ren,370 青年人,370;
qingguang'xu,8 清光绪,8;
mang'ren,226 盲人,226;
run'hua'ji,32 润滑剂,32;
xiu'zao,22 修造,22;
yin'huo'shao'shen,6 引火烧身,6;
yang'zhi'hu,192 养殖户,192;
qi'shi'bu'ran,24 其实不然,24;
shen'biao,94 深表,94;
shen'bian,1409 申辩,25;身边,1384;
tiao'jie,3338 调节,973;调解,2365;
gao'cheng'shi,12 藁城市,12;
duo'yu,160 多于,87;多余,73;
chen'mingfeng,14 陈铭峰,14;
nong'jiju,87 农机局,13;农机具,74;
dui'da,6 对答,6;
guo'duan,322 果断,322;
ju'xing,4419 巨型,102;举行,4268;巨星,49;
lian'huanjie,5 联欢节,5;
feng'chui'cao'dong,26 风吹草动,26;
wang'shunxi,5 王顺喜,5;
bai'nong,22 摆弄,22;
dui'ce,344 对策,344;
ma'an'shan'shi,26 马鞍山市,26;
qungong'bu,11 群工部,11;
ying'li,628 英里,23;盈利,605;
deng'yu,554 等于,554;
ai'jin,5 挨近,5;
tiao'jia,67 调价,67;
shen'sui,99 深邃,99;
cao'chu,52 草畜,52;
feng'wei'zhu,5 凤尾竹,5;
sa'sha,8 萨沙,8;
humei,10 胡玫,10;
tan'wu'fu'hua,16 贪污腐化,16;
chen'guang'zhong,11 陈光中,11;
deng'zi,30 凳子,30;
zhou'xiao'chun,8 周小春,8;
yao'chuan,9 谣传,9;
zhi'zao'chang,34 制造厂,34;
ping'min,375 平民,375;
ni'tan,62 泥潭,62;
hun'lian,33 婚恋,33;
shi'wu'ju'xi,22 事无巨细,22;
bao'bian'bu'yi,12 褒贬不一,12;
haiji,8 海基,8;
zhi'jiang'shi,5 枝江市,5;
gao'ge'zi,5 高个子,5;
cao'chi,25 操持,25;
fan'mang,208 繁忙,208;
shou'xun,13 受训,13;
dao'ge'la'si,7 道格拉斯,7;
wang'kang,5 王康,5;
jie'xiao,34 揭晓,34;
na'da'mu,24 那达慕,24;
dui'kou,842 对口,842;
jian'shen'cao,38 健身操,38;
xian'e,234 险恶,41;限额,193;
ying'mi,11 影迷,11;
qiao'jiazhuang,6 乔家庄,6;
lasa,11 拉撒,11;
shen'suo,7 伸缩,7;
xie'li'fu,8 谢里夫,8;
jing'ying'bu,7 经营部,7;
an'quan'dai,81 安全带,81;
xu'guang'qi,5 徐光启,5;
han'dong,135 撼动,41;韩东,5;涵洞,19;寒冬,70;
yuan'xiao'jie,67 元宵节,67;
luo'fu'he,76 罗富和,76;
wu'zhong,162 吴忠,33;物种,129;
gu'er'ban'tong'gu'te,5 古尔班通古特,5;
huai'shu,18 槐树,18;
di'sheng,12 低声,12;
sa'ke'si,5 萨克斯,5;
cheng'ke'jie,7 成克杰,7;
huai'shi,90 坏事,90;
dan'quan,6 丹泉,6;
shaoye,9 邵曳,9;
weng'an'xian,7 瓮安县,7;
zhao'fa'xi'zhi,5 朝发夕至,5;
jiajin,6 加进,6;
ai'li'xin,13 爱立信,13;
sheng'chan'chang,10 生产厂,10;
yi'xiang'tian'kai,16 异想天开,16;
xiang'tian,30 香甜,30;
ying'mu,5 荧幕,5;
zhang'yu'mei,27 张玉梅,27;
zhu'qi'nan,6 朱启南,6;
ying'mo,143 英模,143;
shaoyi,5 邵一,5;
xiao'tiao,60 萧条,60;
san'shi'yi,14 三十一,14;
zhu'yi'li,169 注意力,169;
kai'pu'dun,50 开普敦,50;
hui'yi'shi,175 会议室,175;
hai'ren,23 害人,23;
zhutui,292 助推,292;
cheng'tuo,13 秤砣,13;
mang'ran,76 茫然,76;
zhuliang,9 主粮,9;
lao'bo,16 老伯,16;
bin'jiang,39 滨江,39;
wen'ping,99 文凭,99;
diao'cha'hui,6 调查会,6;
gong'ye'guo,21 工业国,21;
zi'yang,268 字样,138;紫阳,6;滋养,124;
shi'duo,10 拾掇,10;
taosheng,34 涛声,34;
da'chu'zhuo'yan,12 大处着眼,12;
shang'shou,23 上手,23;
yan'jing,961 眼镜,165;燕京,29;眼睛,767;
